Year,Month,Day,OMI1,OMI2,Amplitude
1980,7,2,-1.08635,0.40127,1.15809
1980,7,3,-1.1017,0.2304,1.12553
1980,7,4,-1.09145,0.06144,1.09317
1980,7,5,-1.05944,-0.09828,1.06399
1980,7,6,-1.00985,-0.24363,1.03883
1980,7,7,-0.94618,-0.3713,1.01643
1980,7,8,-0.87089,-0.47948,0.99416
1980,7,9,-0.78539,-0.56765,0.96905
1980,7,10,-0.69028,-0.63641,0.93888
1980,7,11,-0.58569,-0.6873,0.903
1980,7,12,-0.47162,-0.72261,0.86289
1980,7,13,-0.3483,-0.74503,0.82243
1980,7,14,-0.2165,-0.75732,0.78766
1980,7,15,-0.07766,-0.76192,0.76586
1980,7,16,0.06593,-0.76071,0.76356
1980,7,17,0.21118,-0.75486,0.78385
1980,7,18,0.35431,-0.74494,0.82491
1980,7,19,0.49109,-0.73113,0.88075
1980,7,20,0.61727,-0.71364,0.94356
1980,7,21,0.72904,-0.69313,1.00594
1980,7,22,0.82357,-0.67092,1.06226
1980,7,23,0.89947,-0.64898,1.10916
1980,7,24,0.95711,-0.62941,1.14552
1980,7,25,0.99847,-0.61369,1.17199
1980,7,26,1.02675,-0.60197,1.19021
1980,7,27,1.04552,-0.59263,1.2018
1980,7,28,1.05784,-0.58239,1.20756
1980,7,29,1.0655,-0.56696,1.20695
1980,7,30,1.06867,-0.54192,1.19822
1980,7,31,1.06585,-0.504,1.17901
1980,8,1,1.05498,-0.45047,1.14713
1980,8,2,1.03355,-0.38075,1.10145
1980,8,3,0.99963,-0.29584,1.04249
1980,8,4,0.95245,-0.198,0.97281
1980,8,5,0.89253,-0.09031,0.89708
1980,8,6,0.82155,0.02374,0.82189
1980,8,7,0.74198,0.14041,0.75515
1980,8,8,0.65666,0.25599,0.70479
1980,8,9,0.5684,0.3668,0.67648
1980,8,10,0.47981,0.46932,0.67118
1980,8,11,0.39316,0.56029,0.68447
1980,8,12,0.31044,0.63684,0.70847
1980,8,13,0.23337,0.69674,0.73478
1980,8,14,0.16351,0.73862,0.7565
1980,8,15,0.10219,0.76228,0.7691
1980,8,16,0.05041,0.76888,0.77053
1980,8,17,0.00867,0.76106,0.76111
1980,8,18,-0.02339,0.74281,0.74318
1980,8,19,-0.04723,0.7191,0.72065
1980,8,20,-0.0657,0.69524,0.69834
1980,8,21,-0.08308,0.67608,0.68116
1980,8,22,-0.10483,0.66525,0.67346
1980,8,23,-0.13704,0.66473,0.6787
1980,8,24,-0.18557,0.67471,0.69976
